DAZ    	  283269	 C2H4   	  144581	  0.41049
DAZ    	  283279	 C2H4   	  203159	  0.39661
DAZ    	  283282	 C2H4   	  253377	  0.41000
DAZ    	  283289	 C2H4   	  182617	  0.41158
DAZ    	  283312	 C2H4   	  179769	  0.40645
DAZ    	  283319	 C2H4   	  176782	  0.39837
DAZ    	  283332	 C2H4   	  182293	  0.40915
DAZ    	  283339	 C2H4   	  225442	  0.39205
DAZ    	  283342	 C2H4   	  270676	  0.39661
DAZ    	  283349	 C2H4   	  189964	  0.40571
DAZ    	  283359	 C2H4   	  243205	  0.39256
DAZ    	  283369	 C2H4   	  183789	  0.41243
DAZ    	  283372	 C2H4   	  179478	  0.38756
DAZ    	  283379	 C2H4   	  155659	  0.40829
DAZ    	  283382	 C2H4   	  187089	  0.39319
DAZ    	  283399	 C2H4   	  259198	  0.38275
DAZ    	  283409	 C2H4   	  259302	  0.38105
DAZ    	  283422	 C2H4   	  171436	  0.38923
DAZ    	  283479	 C2H4   	  136332	  0.41413
DAZ    	  283492	 C2H4   	  209158	  0.41388
DAZ    	  283519	 C2H4   	  143813	  0.38406
DAZ    	  283539	 C2H4   	  220016	  0.41340
DAZ    	  283542	 C2H4   	  273999	  0.39762
DAZ    	  283552	 C2H4   	  186101	  0.38131
DAZ    	  283559	 C2H4   	  178861	  0.41413
DAZ    	  283562	 C2H4   	  159947	  0.40866
DAZ    	  283572	 C2H4   	  248726	  0.39598
DAZ    	  283579	 C2H4   	  208264	  0.41449
DAZ    	  283589	 C2H4   	  195925	  0.40669
DAZ    	  283622	 C2H4   	  128039	  0.39268
DAZ    	  283632	 C2H4   	  129147	  0.40608
DAZ    	  283642	 C2H4   	  174542	  0.39319
DAZ    	  283649	 C2H4   	  134756	  0.39598
DAZ    	  283659	 C2H4   	  146479	  0.39230
DAZ    	  283689	 C2H4   	  264990	  0.40509
DAZ    	  283709	 C2H4   	  179841	  0.39937
DAZ    	  283722	 C2H4   	  131078	  0.39370
DAZ    	  283729	 C2H4   	  154299	  0.39256
DAZ    	  283732	 C2H4   	  234607	  0.38588
DAZ    	  283739	 C2H4   	  272717	  0.39661
DAZ    	  283742	 C2H4   	  134826	  0.40915
DAZ    	  283749	 C2H4   	  249327	  0.39674
DAZ    	  283762	 C2H4   	  185620	  0.40100
DAZ    	  283769	 C2H4   	  140214	  0.40571
DAZ    	  283772	 C2H4   	  147523	  0.39115
DAZ    	  283779	 C2H4   	  158839	  0.40237
DAZ    	  283782	 C2H4   	  220705	  0.40963
DAZ    	  283789	 C2H4   	  156747	  0.41243
DAZ    	  283809	 C2H4   	  182178	  0.40915
DAZ    	  283812	 C2H4   	  282278	  0.38910
DAZ    	  283819	 C2H4   	  264583	  0.39812
DAZ    	  283832	 C2H4   	  137272	  0.40719
DAZ    	  283842	 C2H4   	  205584	  0.39837
DAZ    	  283862	 C2H4   	  201305	  0.38288
DAZ    	  283882	 C2H4   	  149514	  0.40423
DAZ    	  283889	 C2H4   	  177442	  0.41449
DAZ    	  283912	 C2H4   	  226634	  0.41195
DAZ    	  283919	 C2H4   	  205346	  0.40162
DAZ    	  283922	 C2H4   	  218326	  0.38691
DAZ    	  283929	 C2H4   	  255648	  0.40939
DAZ    	  283932	 C2H4   	  135349	  0.38223
